City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,71.1,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
1,Katsuura,JP,69.04,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
2,Mongu,ZM,81.57,clear sky,-15.25,23.13,Country Lodge Mongu
7,Victoria,HK,84.33,overcast clouds,22.29,114.16,Mini Central
9,Garowe,SO,85.28,overcast clouds,8.41,48.48,Curubo Hotel
17,Luanda,AO,75.2,haze,-8.84,13.23,EPIC SANA Luanda
21,Carnarvon,AU,64.69,clear sky,-24.87,113.63,Hospitality Carnarvon
22,Hualmay,PE,66.16,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
23,Sibolga,ID,75.6,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
24,Puerto Leguizamo,CO,94.75,few clouds,-0.19,-74.78,la casona de juancho
25,Hami,CN,69.64,clear sky,42.8,93.45,Laoyutang Resort
29,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
30,Rikitea,PF,72.81,clear sky,-23.12,-134.97,People ThankYou
31,Salinopolis,BR,84.85,broken clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
35,Vaniyambadi,IN,77.81,broken clouds,12.68,78.62,Ahmedia Hotel™️ Since 1975
37,El Sauzal,MX,70.41,clear sky,31.9,-116.68,Hotel Las Rosas & Spa
38,Jhalida,IN,76.3,scattered clouds,23.37,85.97,Jhalda Guest house and lodge
40,Huangpu,CN,71.2,broken clouds,25.44,113.17,New Era Hotel Furnishing City
44,San Cristobal,VE,77.18,overcast clouds,7.77,-72.22,Pirineos
45,Nova Olimpia,BR,101.39,broken clouds,-14.8,-57.29,Motel glamour
46,Ribeira Grande,PT,77.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
47,Souillac,MU,71.98,scattered clouds,-20.52,57.52,Bils' Villa
48,Atuona,PF,76.35,light rain,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
49,Villa Constitucion,AR,67.98,overcast clouds,-33.23,-60.33,Hotel Embajador Villa Constitucion
51,El Cobre,CU,87.24,scattered clouds,20.05,-75.95,Hospedería del Santuario de Nuestra Señora de la Caridad de El Cobre
54,Hasaki,JP,64.8,overcast clouds,35.73,140.83,Inubosaki Kanko Hotel
55,Faanui,PF,78.8,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Hithadhoo,MV,81.64,clear sky,-0.6,73.08,Scoop Guest House
58,Saint Stephen,GB,65.03,few clouds,50.33,-4.9,4 stepaside corner
62,Letlhakane,BW,72.79,clear sky,-21.42,25.58,Motswedi Hotel
63,Kibungo,RW,70.72,broken clouds,-2.16,30.54,Kibungo - Centre St. Joseph Guest House
65,Mar Del Plata,AR,62.62,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
66,Sao Filipe,CV,79.18,scattered clouds,14.9,-24.5,Hotel Xaguate
67,Saint Anthony,US,64.29,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
69,Panalingaan,PH,79.07,overcast clouds,8.78,117.42,I Love Panalingaan View Deck
70,Vila Franca Do Campo,PT,75.61,broken clouds,37.72,-25.43,Pestana Bahia Praia
71,Alofi,NU,73.29,overcast clouds,-19.06,-169.92,Taloa Heights
73,Veraval,IN,79.12,broken clouds,20.9,70.37,Lords Inn Somnath
74,Hilo,US,73.62,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
75,Sadiqabad,PK,89.71,clear sky,28.31,70.13,MIDWAY HOTEL & RESTAURANT
76,Saldanha,ZA,69.85,scattered clouds,-33.01,17.94,Blue Bay Lodge
78,Chesma,RU,60.64,few clouds,53.81,60.65,Gostinitsa
79,Hermanus,ZA,62.8,scattered clouds,-34.42,19.23,Misty Waves Boutique Hotel
81,Shingu,JP,72.21,overcast clouds,33.73,135.98,Shingu UI Hotel
84,Chahal,GT,83.17,broken clouds,15.75,-89.57,HOTEL MY WONDERFUL DAYS
89,Coquimbo,CL,62.33,clear sky,-29.95,-71.34,Hotel San Juan
90,Puerto Ayora,EC,75.16,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
91,Gizo,SB,76.14,overcast clouds,-8.1,156.84,Imagination Island
93,Neiafu,TO,75.88,scattered clouds,-18.65,-173.98,Mystic Sands Beachfront Accommodation
94,Caravelas,BR,81.41,broken clouds,-17.71,-39.25,Pousada dos Navegantes
95,Vilhena,BR,89.82,few clouds,-12.74,-60.15,Hotel Mirage
98,Saint George,US,84.25,few clouds,37.1,-113.58,Best Western Plus Abbey Inn
100,Pangai,TO,76.86,light rain,-19.8,-174.35,Ha'apai Beach Resort
102,Port Alfred,ZA,62.19,clear sky,-33.59,26.89,The Halyards Hotel
104,Saint-Joseph,RE,70.18,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
105,Sao Jose Da Coroa Grande,BR,81.37,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
107,Lorengau,PG,79.36,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
108,Saint-Philippe,RE,71.19,scattered clouds,-21.36,55.77,Le four à pain
110,Esna,EG,91.42,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
