City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-09-21 20:23:06,-23.12,-134.97,72.88,75,2,14.5
1,Ushuaia,AR,2022-09-21 20:21:39,-54.8,-68.3,47.86,57,40,11.5
2,Punta Arenas,CL,2022-09-21 20:20:08,-53.15,-70.92,57.31,47,0,14.97
3,Yellowknife,CA,2022-09-21 20:23:07,62.46,-114.35,55.92,67,75,19.57
4,Qaqortoq,GL,2022-09-21 20:23:07,60.72,-46.03,42.85,73,28,3.47
5,Castro,BR,2022-09-21 20:21:58,-24.79,-50.01,58.14,99,100,5.61
6,Westport,US,2022-09-21 20:23:08,41.14,-73.36,81.45,58,0,9.22
7,Vostok,RU,2022-09-21 20:23:08,46.49,135.88,37.45,71,1,5.46
8,Tashla,RU,2022-09-21 20:23:09,51.77,52.74,64.51,23,99,6.31
9,Wetaskiwin,CA,2022-09-21 20:23:09,52.97,-113.37,65.68,25,8,15.41
10,Grevesmuhlen,DE,2022-09-21 20:23:10,53.87,11.18,54.79,84,100,3.24
11,Inhambane,MZ,2022-09-21 20:23:10,-23.86,35.38,70.9,89,1,0.85
12,Rio Gallegos,AR,2022-09-21 20:23:11,-51.62,-69.22,51.01,59,51,27.07
13,Mahina,PF,2022-09-21 20:22:16,-17.51,-149.49,82.17,61,20,6.91
14,Atuona,PF,2022-09-21 20:23:11,-9.8,-139.03,76.44,81,78,21.99
15,Georgetown,MY,2022-09-21 20:23:12,5.41,100.34,77.95,93,40,5.75
16,Hilo,US,2022-09-21 20:22:00,19.73,-155.09,84.25,70,75,4.61
17,Port Macquarie,AU,2022-09-21 20:23:12,-31.43,152.92,62.49,88,75,17.27
18,Labuhan,ID,2022-09-21 20:23:13,-6.88,112.21,77.45,86,100,6.42
19,Prospect Heights,US,2022-09-21 20:23:13,42.1,-87.94,86.29,49,0,10.36
20,Baijiantan,CN,2022-09-21 20:23:14,45.63,85.18,69.42,17,1,4.88
21,Chihuahua,MX,2022-09-21 20:22:27,28.5,-106.0,83.21,41,16,6.96
22,Kapaa,US,2022-09-21 20:23:15,22.08,-159.32,84.52,69,0,11.5
23,Gibara,CU,2022-09-21 20:23:15,21.11,-76.13,83.52,60,43,11.9
24,Manokwari,ID,2022-09-21 20:23:15,-0.87,134.08,77.27,78,100,3.94
25,Saint George,US,2022-09-21 20:23:16,37.1,-113.58,88.39,34,75,9.22
26,Upernavik,GL,2022-09-21 20:23:16,72.79,-56.15,33.73,72,100,5.26
27,Chadiza,ZM,2022-09-21 20:23:17,-14.07,32.44,74.14,40,2,10.27
28,Avarua,CK,2022-09-21 20:23:17,-21.21,-159.78,77.05,73,75,10.36
29,Rawson,AR,2022-09-21 20:23:18,-43.3,-65.1,49.68,82,45,17.52
