City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.74,-97.86,37.56,93,100,4.61,overcast clouds
1,Jardim,BR,-21.48,-56.14,83.59,65,14,4.74,few clouds
2,Mataura,NZ,-46.19,168.86,46.47,98,19,1.86,few clouds
3,Yellowknife,CA,62.46,-114.35,46.92,87,20,13.8,few clouds
4,Atuona,PF,-9.8,-139.03,76.39,80,29,22.88,light rain
5,Rikitea,PF,-23.12,-134.97,72.66,74,4,16.64,clear sky
6,Actopan,MX,20.27,-98.93,57.54,81,40,2.46,scattered clouds
7,Barrow,US,71.29,-156.79,35.62,100,100,6.91,light rain
8,Roald,NO,62.58,6.13,64.17,67,75,6.91,broken clouds
9,Bluff,NZ,-46.6,168.33,46.8,81,41,3.67,scattered clouds
10,Bengkulu,ID,-3.8,102.27,76.08,89,100,4.54,light rain
11,Hilo,US,19.73,-155.09,72.63,81,0,7.0,clear sky
12,Ouesso,CG,1.61,16.05,82.51,63,97,3.22,overcast clouds
13,Kapaa,US,22.08,-159.32,79.12,84,40,12.66,scattered clouds
14,Upernavik,GL,72.79,-56.15,34.27,70,81,14.03,broken clouds
15,Kieta,PG,-6.22,155.63,74.5,91,100,1.52,light rain
16,Kodiak,US,57.79,-152.41,53.11,54,100,14.97,overcast clouds
17,Saint-Philippe,RE,-21.36,55.77,72.99,77,8,11.97,clear sky
18,Khatanga,RU,71.97,102.5,20.35,89,56,10.47,broken clouds
19,General Pico,AR,-35.66,-63.76,59.52,32,94,10.78,overcast clouds
20,Aleksandrov Gay,RU,50.15,48.57,78.51,26,100,5.99,overcast clouds
21,Husavik,IS,66.04,-17.34,51.67,81,76,4.18,broken clouds
22,Nanortalik,GL,60.14,-45.24,42.04,78,41,17.58,scattered clouds
23,Jambi,ID,-1.6,103.62,75.61,92,84,2.26,broken clouds
24,Vaini,TO,-21.2,-175.2,75.36,88,40,8.05,scattered clouds
25,Igarka,RU,67.47,86.58,36.54,99,100,21.41,overcast clouds
26,Kampene,CD,-3.6,26.67,85.23,56,83,3.27,broken clouds
27,Berlevag,NO,70.86,29.09,44.6,81,75,8.05,broken clouds
28,Punta Arenas,CL,-53.15,-70.92,39.31,75,0,11.5,clear sky
